round,circuit,event,lap_number,sector,driver_behind,team_behind,driver_ahead,team_ahead,gap_at_detection_s,speed_trap_behind,speed_trap_ahead,speed_trap_delta,tyre_age_behind,compound_behind,tyre_age_ahead,compound_ahead,override_available,track_energy_class,pass_completed
1,Melbourne,Australian Grand Prix,1,S2,HAD,Red Bull Racing,RUS,Mercedes,0.643,216.0,234.0,-18.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,LIN,Racing Bulls,HAD,Red Bull Racing,0.004,235.0,216.0,19.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,HAM,Ferrari,LIN,Racing Bulls,0.753,240.0,235.0,5.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,True
1,Melbourne,Australian Grand Prix,1,S2,NOR,McLaren,HAM,Ferrari,0.176,217.0,240.0,-23.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,ANT,Mercedes,NOR,McLaren,0.881,232.0,217.0,15.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,OCO,Haas F1 Team,ANT,Mercedes,0.502,211.0,232.0,-21.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,GAS,Alpine,OCO,Haas F1 Team,0.239,214.0,211.0,3.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,ALO,Aston Martin,GAS,Alpine,0.515,203.0,214.0,-11.0,1.0,SOFT,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,BOR,Audi,ALO,Aston Martin,0.522,216.0,203.0,13.0,1.0,MEDIUM,1.0,SOFT,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,ALB,Williams,BOR,Audi,0.048,209.0,216.0,-7.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,SAI,Williams,ALB,Williams,0.74,210.0,209.0,1.0,1.0,SOFT,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,BEA,Haas F1 Team,SAI,Williams,0.334,206.0,210.0,-4.0,1.0,MEDIUM,1.0,SOFT,True,harvest_rich,True
1,Melbourne,Australian Grand Prix,1,S2,BOT,Cadillac,BEA,Haas F1 Team,0.384,209.0,206.0,3.0,1.0,HARD,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,COL,Alpine,BOT,Cadillac,0.277,209.0,209.0,0.0,1.0,HARD,1.0,HARD,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,VER,Red Bull Racing,COL,Alpine,0.151,211.0,209.0,2.0,1.0,HARD,1.0,HARD,True,harvest_rich,True
1,Melbourne,Australian Grand Prix,1,S2,PER,Cadillac,VER,Red Bull Racing,0.553,200.0,211.0,-11.0,1.0,MEDIUM,1.0,HARD,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S2,LAW,Racing Bulls,PER,Cadillac,0.31,182.0,200.0,-18.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,True
1,Melbourne,Australian Grand Prix,1,S2,STR,Aston Martin,LAW,Racing Bulls,0.027,188.0,182.0,6.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,RUS,Mercedes,LEC,Ferrari,0.766,234.0,244.0,-10.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,HAD,Red Bull Racing,HAM,Ferrari,0.883,216.0,240.0,-24.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,LIN,Racing Bulls,HAD,Red Bull Racing,0.087,235.0,216.0,19.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,NOR,McLaren,LIN,Racing Bulls,0.33,217.0,235.0,-18.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,ANT,Mercedes,NOR,McLaren,0.464,232.0,217.0,15.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,OCO,Haas F1 Team,ANT,Mercedes,0.622,211.0,232.0,-21.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,GAS,Alpine,OCO,Haas F1 Team,0.468,214.0,211.0,3.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,ALO,Aston Martin,GAS,Alpine,0.273,203.0,214.0,-11.0,1.0,SOFT,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,BOR,Audi,ALO,Aston Martin,0.352,216.0,203.0,13.0,1.0,MEDIUM,1.0,SOFT,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,ALB,Williams,BOR,Audi,0.695,209.0,216.0,-7.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,BEA,Haas F1 Team,ALB,Williams,0.317,206.0,209.0,-3.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,SAI,Williams,BEA,Haas F1 Team,0.417,210.0,206.0,4.0,1.0,SOFT,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,BOT,Cadillac,SAI,Williams,0.703,209.0,210.0,-1.0,1.0,HARD,1.0,SOFT,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,VER,Red Bull Racing,BOT,Cadillac,0.373,211.0,209.0,2.0,1.0,HARD,1.0,HARD,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,COL,Alpine,VER,Red Bull Racing,0.409,209.0,211.0,-2.0,1.0,HARD,1.0,HARD,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,LAW,Racing Bulls,COL,Alpine,0.647,182.0,209.0,-27.0,1.0,MEDIUM,1.0,HARD,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,PER,Cadillac,LAW,Racing Bulls,0.351,200.0,182.0,18.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,1,S3,STR,Aston Martin,PER,Cadillac,0.779,188.0,200.0,-12.0,1.0,MEDIUM,1.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,RUS,Mercedes,LEC,Ferrari,0.408,273.0,269.0,4.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,HAD,Red Bull Racing,HAM,Ferrari,0.982,301.0,282.0,19.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,LIN,Racing Bulls,HAD,Red Bull Racing,0.654,260.0,301.0,-41.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,NOR,McLaren,LIN,Racing Bulls,0.541,260.0,260.0,0.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,ANT,Mercedes,NOR,McLaren,0.362,272.0,260.0,12.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,OCO,Haas F1 Team,ANT,Mercedes,0.674,266.0,272.0,-6.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,GAS,Alpine,OCO,Haas F1 Team,0.604,264.0,266.0,-2.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,ALO,Aston Martin,GAS,Alpine,0.562,251.0,264.0,-13.0,2.0,SOFT,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,BOR,Audi,ALO,Aston Martin,0.187,274.0,251.0,23.0,2.0,MEDIUM,2.0,SOFT,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,ALB,Williams,BOR,Audi,0.694,265.0,274.0,-9.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,BEA,Haas F1 Team,ALB,Williams,0.566,251.0,265.0,-14.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,SAI,Williams,BEA,Haas F1 Team,0.401,238.0,251.0,-13.0,2.0,SOFT,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,BOT,Cadillac,SAI,Williams,0.774,271.0,238.0,33.0,2.0,HARD,2.0,SOFT,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,VER,Red Bull Racing,BOT,Cadillac,0.241,269.0,271.0,-2.0,2.0,HARD,2.0,HARD,True,harvest_rich,True
1,Melbourne,Australian Grand Prix,2,S1,COL,Alpine,VER,Red Bull Racing,0.789,257.0,269.0,-12.0,2.0,HARD,2.0,HARD,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,LAW,Racing Bulls,COL,Alpine,0.468,259.0,257.0,2.0,2.0,MEDIUM,2.0,HARD,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,PER,Cadillac,LAW,Racing Bulls,0.547,238.0,259.0,-21.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S1,STR,Aston Martin,PER,Cadillac,0.667,244.0,238.0,6.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
1,Melbourne,Australian Grand Prix,2,S2,RUS,Mercedes,LEC,Ferrari,0.069,273.0,269.0,4.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,True
1,Melbourne,Australian Grand Prix,2,S2,LIN,Racing Bulls,HAD,Red Bull Racing,0.011,260.0,301.0,-41.0,2.0,MEDIUM,2.0,MEDIUM,True,harvest_rich,False
